[TIME],[KIND],[POSITION],[ANGLE]
2.796315789,e,(-0.25:1.75:0),0
3.427894737,e,(-0.25:1.75:0),0
4.059473684,e,(0.25:1.75:0),0
4.691052632,e,(0.25:1.75:0),0
5.322631579,g,(-0.8:1.75:0),-45
5.638421053,g,(0.8:2.25:0),45
5.954210526,g,(0:1.75:0),15
6.27,g,(0.8:2:0),30
6.585789474,g,(0:2.25:0),165
6.901578947,g,(0.8:1.75:0),15
7.217368421,g,(0.8:2:0),30
7.533157895,g,(0:2:0),30
7.848947368,g,(0.75:1.75:0),45
7.848947368,g,(-0.75:1.75:0),45
8.480526316,g,(0.8:1.85:0),30
8.480526316,g,(-0.8:1.85:0),60
9.112105263,g,(0.25:2.25:0),45
9.427894737,g,(0:2:0),45
9.743684211,g,(-0.25:1.75:0),45
10.37526316,g,(0.75:1.75:0),45
10.37526316,g,(-0.75:1.75:0),45
11.00684211,g,(0.8:1.85:0),30
11.00684211,g,(-0.8:1.85:0),60
11.63842105,g,(-0.25:2.25:0),-45
11.95421053,e,(0:2:0),0
12.27,g,(0.25:1.75:0),-45
12.58578947,g,(0.3:1.75:0),15
12.58578947,g,(-0.3:1.75:0),-15
12.90157895,g,(0.8:1.75:0),30
13.21736842,g,(-0.8:1.75:0),-30
13.53315789,g,(0.8:1.75:0),30
14.16473684,g,(-0.8:2.25:0),-60
14.48052632,e,(0.8:2.25:0),0
14.79631579,e,(-0.25:2.25:0),0
15.42789474,e,(-0.25:1.75:0),0
15.74368421,g,(0:2.25:0),30
16.05947368,g,(0.25:1.75:0),15
16.69105263,g,(0.25:2.25:0),0
17.00684211,g,(0:1.75:0),-15
17.32263158,g,(-0.25:2.25:0),30
17.95421053,g,(0.8:2.25:0),0
18.27,g,(0.5:2:0),15
18.58578947,g,(0.2:1.75:0),30
18.90157895,e,(0:1.65:0),0
19.21736842,g,(-0.2:1.75:0),0
19.53315789,g,(-0.5:2:0),15
19.84894737,g,(-0.8:2.25:0),30
20.48052632,e,(0:2.25:0),0
20.79631579,g,(-0.75:2:0),-15
20.79631579,g,(-0.15:2:0),0
21.11210526,g,(-0.5:1.75:0),-45
21.42789474,g,(-0.3:1.65:0),0
21.42789474,g,(0.3:1.65:0),0
21.74368421,g,(0.5:1.75:0),45
22.05947368,g,(0.75:2:0),15
22.05947368,g,(0.15:2:0),15
22.37526316,g,(0.8:2.25:0),30
22.53315789,g,(0.2:1.75:0),30
22.69105263,g,(-0.2:2:0),30
23.00684211,g,(0.8:1.75:0),30
23.32263158,g,(-0.8:1.75:0),-30
23.63842105,g,(0.8:1.75:0),30
24.27,g,(-0.8:2.25:0),-60
24.58578947,g,(0.8:2.25:0),60
24.90157895,g,(-0.25:2.25:0),0
25.53315789,e,(0:2.25:0),0
25.84894737,g,(0.5:2:0),15
26.16473684,g,(0.2:1.75:0),30
26.48052632,g,(0:1.65:0),15
26.79631579,g,(-0.2:1.75:0),0
27.11210526,g,(-0.5:2:0),15
27.42789474,g,(-0.8:2.25:0),30
28.05947368,g,(-0.8:2.25:0),0
28.37526316,g,(-0.75:2:0),-15
28.37526316,g,(-0.15:2:0),-15
28.69105263,g,(-0.5:1.75:0),-45
29.00684211,g,(-0.3:1.65:0),0
29.00684211,g,(0.3:1.65:0),0
29.32263158,g,(0.5:1.75:0),45
29.63842105,g,(0.75:2:0),15
29.63842105,g,(0.15:2:0),15
29.95421053,e,(0.15:2.25:0),0
30.58578947,g,(0.8:2.25:0),45
30.74368421,g,(-0.8:2.25:0),90
30.90157895,g,(-0.8:1.75:0),45
31.05947368,g,(0.8:1.75:0),90
31.21736842,g,(0.75:2.25:0),30
31.21736842,g,(-0.75:2.25:0),30
31.37526316,g,(0.75:1.9:0),45
31.37526316,g,(-0.75:1.9:0),45
31.53315789,g,(0.75:1.75:0),60
31.53315789,g,(-0.75:1.75:0),60
32.48052632,g,(0:2:0),30
