[TIME],[KIND],[POSITION],[ANGLE]
3,g,(0:1.5:0),0
3.2,g,(0:1.5:0),15
3.4,a,(0:1.5:0),30
3.6,a,(0:1.5:0),45
3.8,a,(0:1.5:0),60
4,a,(0:1.5:0),75
4.2,a,(0:1.5:0),90
4.4,a,(0:1.5:0),105
4.6,a,(0:1.5:0),120
4.8,a,(0:1.5:0),135
5,g,(0:1.5:0),150
5.2,g,(0:1.5:0),165
5.4,g,(0:1.5:0),180
5.6,g,(0:1.5:0),195
5.8,g,(0:1.5:0),210
6,g,(0:1.5:0),225
6.2,g,(0:1.5:0),240
6.4,g,(0:1.5:0),255
6.6,g,(0:1.5:0),270
6.8,g,(0:1.5:0),285
7,g,(0:1.5:0),300
7.2,g,(0:1.5:0),315
7.4,g,(0:1.5:0),330
7.6,g,(0:1.5:0),345
7.8,g,(0:1.5:0),360
8,g,(0:1.5:0),375
8.2,g,(0:1.5:0),390
8.4,g,(0:1.5:0),405
8.6,g,(0:1.5:0),420
